;; This library allows typing the Greek letters by typing their names in English. ;; 73 definitions.

*C1?OZ‖~capitalomega ‖SI‖En‖{U+03A9}‖greek capital letter omega (U+03A9)


*C1?OZ‖~digamma ‖SI‖En‖{U+03DD}‖greek small letter digamma (U+03DD)
*C1?OZ‖~capitaldigamma ‖SI‖En‖{U+03DC}‖greek letter digamma (U+03DC)
*C1?OZ‖~wau ‖SI‖En‖{U+03DD}‖greek small letter digamma (U+03DD)
*C1?OZ‖~capitalwau ‖SI‖En‖{U+03DC}‖greek letter digamma (U+03DC)

*C1?OZ‖~koppa ‖SI‖En‖{U+03D9}‖greek small letter archaic koppa (U+03D9)
*C1?OZ‖~capitalkoppa ‖SI‖En‖{U+03D8}‖greek letter archaic koppa (U+03D8)
*C1?OZ‖~qoppa ‖SI‖En‖{U+03D9}‖greek small letter archaic koppa (U+03D9)
*C1?OZ‖~capitalqoppa ‖SI‖En‖{U+03D8}‖greek letter archaic koppa (U+03D8)

*C1?OZ‖~sampi ‖SI‖En‖{U+0373}‖greek small letter archaic sampi (U+0373)
*C1?OZ‖~capitalsampi ‖SI‖En‖{U+0372}‖greek capital letter archaic sampi (U+0372)

*C1?OZ‖~modernsampi ‖SI‖En‖{U+03E1}‖greek small letter sampi (U+03E1)
*C1?OZ‖~capitalmodernsampi ‖SI‖En‖{U+03E0}‖greek letter sampi (U+03E0)

*C1?OZ‖~san ‖SI‖En‖{U+03FB}‖greek small letter san (U+03FB)
*C1?OZ‖~capitalsan ‖SI‖En‖{U+03FA}‖greek capital letter san (U+03FA)

*C1?OZ‖~heta ‖SI‖En‖{U+0371}‖greek small letter heta (U+0371)
*C1?OZ‖~capitalheta ‖SI‖En‖{U+0370}‖greek capital letter heta (U+0370)
