;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C?OZ‖koppa`‖SI‖En‖{U+03D9}‖greek small letter archaic koppa
*C?OZ‖KOPPA`‖SI‖En‖{U+03D8}‖greek letter archaic koppa
*C?OZ‖qoppa`‖SI‖En‖{U+03D9}‖greek small letter archaic koppa
*C?OZ‖QOPPA`‖SI‖En‖{U+03D8}‖greek letter archaic koppa
*C?OZ‖modernkoppa`‖SI‖En‖{U+03DF}‖greek small letter koppa
*C?OZ‖MODERNKOPPA`‖SI‖En‖{U+03DE}‖greek letter koppa
*C?OZ‖modernqoppa`‖SI‖En‖{U+03DF}‖greek small letter koppa
*C?OZ‖MODERNQOPPA`‖SI‖En‖{U+03DE}‖greek letter koppa

*C?OZ‖sampi`‖SI‖En‖{U+0373}‖greek small letter archaic sampi
*C?OZ‖SAMPI`‖SI‖En‖{U+0372}‖greek capital letter archaic sampi
*C?OZ‖modernsampi`‖SI‖En‖{U+03E1}‖greek small letter sampi
*C?OZ‖MODERNSAMPI`‖SI‖En‖{U+03E0}‖greek letter sampi

*C?OZ‖san`‖SI‖En‖{U+03FB}‖greek small letter san
*C?OZ‖SAN`‖SI‖En‖{U+03FA}‖greek capital letter san

*C?OZ‖heta`‖SI‖En‖{U+0371}‖greek small letter heta
*C?OZ‖HETA`‖SI‖En‖{U+0370}‖greek capital letter heta
*C?OZ‖tackheta`‖SI‖En‖{U+0371}‖greek small letter heta
*C?OZ‖TACKHETA`‖SI‖En‖{U+0370}‖greek capital letter heta

*C?OZ‖stigma`‖SI‖En‖{U+03DB}‖greek small letter stigma
*C?OZ‖STIGMA`‖SI‖En‖{U+03DA}‖greek letter stigma

*C?OZ‖lunatesigma`‖SI‖En‖{U+03F2}‖greek lunate sigma symbol
*C?OZ‖LUNATESIGMA`‖SI‖En‖{U+03F9}‖greek capital lunate sigma symbol

*C?OZ‖jot`‖SI‖En‖{U+03F3}‖greek letter yot
*C?OZ‖JOT`‖SI‖En‖{U+037F}‖greek capital letter yot

*C?OZ‖sho`‖SI‖En‖{U+03F8}‖greek small letter sho
*C?OZ‖SHO`‖SI‖En‖{U+03F7}‖greek capital letter sho

*C?OZ‖kai`‖SI‖En‖{U+03D7}‖greek kai symbol
*C?OZ‖KAI`‖SI‖En‖{U+03CF}‖greek capital kai symbol


;; BRACKETS
;;====================
*C1OZ‖parentheses`‖SI‖En‖(){left 1}‖parentheses (open-close)
*C1OZ‖parenthesis`‖SI‖En‖(){left 1}‖parenthesis (open-close)
*C1OZ‖roundbrackets`‖SI‖En‖(){left 1}‖parentheses (open-close)
*C1OZ‖squarebrackets`‖SI‖En‖[]{left 1}‖square brackets (open-close)
*C1OZ‖curlybrackets`‖SI‖En‖{}{left 1}‖curly brackets (open-close)

*C1OZ‖guillemets`‖SI‖En‖«»{left 1}‖guillemets (open-close)
*C1OZ‖reverseguillemets`‖SI‖En‖»«{left 1}‖guillemets (open-close)
*C1OZ‖singleguillemets`‖SI‖En‖‹›{left 1}‖chevrons (open-close)
*C1OZ‖chevrons`‖SI‖En‖‹›{left 1}‖chevrons (open-close)
*C1OZ‖anglebrackets`‖SI‖En‖⟨⟩{left 1}‖angle brackets (open-close)
*C1OZ‖angledbrackets`‖SI‖En‖⟨⟩{left 1}‖angle brackets (open-close)
*C1OZ‖doubleanglebrackets`‖SI‖En‖《》{left 1}‖double angle brackets (open-close)
*C1OZ‖doubleangledbrackets`‖SI‖En‖《》{left 1}‖double angle brackets (open-close)
*C1OZ‖curvedanglebrackets`‖SI‖En‖⧼⧽{left 1}‖curved angle brackets (open-close)
*C1OZ‖doublesquarebrackets`‖SI‖En‖⟦⟧{left 1}‖double brackets (open-close)
*C1OZ‖lenticularbrackets`‖SI‖En‖【】{left 1}‖lenticular brackets (open-close)
*C1OZ‖sumitsuki`‖SI‖En‖【】{left 1}‖lenticular brackets (open-close)

*C1OZ‖cornerbrackets`‖SI‖En‖⌈⌋{left 1}‖top left corner + right floor corner (open-close)
*C1OZ‖halfcornerbrackets`‖SI‖En‖⌜⌟{left 1}‖top half left corner + right half floor corner (open-close)

*C1OZ‖quillbrackets`‖SI‖En‖⁅⁆{left 1}‖quill brackets (open-close)
*C1OZ‖piggparentes`‖SI‖En‖⁅⁆{left 1}‖pin brackets (open-close)
*C1OZ‖pinbrackets`‖SI‖En‖⁅⁆{left 1}‖pin brackets (open-close)

